Object,Aspect,Sentiment,Opinion_holder,Opinion_posting_time
galaxys10,infinity display,positive,SamsungMobileIN,3/30/2019 13:45
galaxys10,camera,positive,SamsungMobileIN,3/30/2019 13:44
galaxys10,camera,positive,fairyblue62,3/30/2019 13:33
galaxys10,ultrasonic fingerprint sensor,positive,SamsungMobileIN,3/30/2019 13:26
galaxys10,wireless powershare,neutral,ArunChine,3/30/2019 13:10
galaxys10,ultrasonic fingerprint sensor,positive,nIlesh_1149,3/30/2019 12:47
galaxys10,wireless powershare,positive,nIlesh_1149,3/30/2019 12:47
galaxys10,camera,positive,SamsungMobileIN,3/30/2019 12:36
galaxys10,infinity display,positive,SineadCryan12,3/30/2019 11:30
galaxys10,camera,neutral,sarziye,3/30/2019 11:26
galaxys10,camera,positive,NageenaAhmed,3/30/2019 11:24
galaxys10,camera,positive,dippyme888,3/30/2019 11:11
galaxys10,wireless powershare,positive,Gegewiganese,3/30/2019 10:59
galaxys10,camera,positive,Kingcooper74,3/30/2019 10:28
galaxys10,ultrasonic fingerprint sensor,positive,baaaf459,3/30/2019 10:18
galaxys10,camera,positive,TRIGGZYBOY,3/30/2019 9:28
galaxys10,infinity display,positive,officalccu127,3/30/2019 9:20
galaxys10,wireless powershare,positive,HELSKREED,3/30/2019 9:13
galaxys10,camera,positive,jenrhymer,3/30/2019 8:54
galaxys10,camera,positive,mia_low,3/30/2019 8:09
galaxys10,infinity display,positive,dannclan,3/30/2019 8:00
galaxys10,camera,positive,PaulPH69,3/30/2019 7:55
galaxys10,camera,positive,jazza1,3/30/2019 7:40
galaxys10,ultrasonic fingerprint sensor,positive,Ami032108,3/30/2019 7:26
galaxys10,battery,positive,melmel2801,3/29/2019 23:53
galaxys10,camera,positive,melmel2801,3/29/2019 23:53
galaxys10,wireless powershare,positive,toadsaver,3/29/2019 23:43
galaxys10,camera,positive,Jammy_Cow,3/29/2019 22:49
galaxys10,ultrasonic fingerprint sensor,positive,EryaoS,3/29/2019 19:55
galaxys10,screen,positive,Crabby_02,3/29/2019 19:26
galaxys10,camera,positive,Crabby_02,3/29/2019 19:26
galaxys10,camera,positive,sweetie_tweeter,3/29/2019 17:26
galaxys10,battery,positive,MorbidPharaoh,3/28/2019 17:20
galaxys10,ultrasonic fingerprint sensor,negative,WhitestoneChina,3/28/2019 2:30
galaxys10,wifi,positive,stetsdogg,3/28/2019 2:29
galaxys10,ultrasonic fingerprint sensor,negative,whitestone_UK,3/27/2019 23:22
galaxys10,wireless powershare,neutral,rohankumaruk,3/27/2019 13:32
galaxys10,camera,positive,agrah3,3/27/2019 9:03
galaxys10,ultrasonic fingerprint sensor,neutral,WhitestoneJapan,3/27/2019 6:17
galaxys10,battery,negative,Er_Avadh,3/27/2019 1:22
galaxys10,battery,neutral,jeannartey,3/26/2019 20:15
galaxys10,ultrasonic fingerprint sensor,positive,kalahed,3/26/2019 1:17
galaxys10,screen,negative,Aurgho_,3/25/2019 7:57
galaxys10,ultrasonic fingerprint sensor,positive,TechDataUK,3/25/2019 0:30
galaxys10,ultrasonic fingerprint sensor,negative,looneylu,3/24/2019 21:27
galaxys10,camera,positive,c7wolfix,3/24/2019 21:03
galaxys10,screen,negative,ETHANWCO,3/24/2019 19:06
galaxys10,wireless powershare,positive,Gadget_Edges,3/24/2019 14:00
galaxys10,ultrasonic fingerprint sensor,positive,WhitestoneJapan,3/24/2019 8:12
galaxys10,camera,neutral,JoelRTaveras,3/23/2019 17:02
galaxys10,ultrasonic fingerprint sensor,positive,m5fayiE3IhUwmL3,3/23/2019 13:15
galaxys10,camera,positive,Zay_38,3/22/2019 18:24
galaxys10,battery,neutral,lutfi_hambali,3/22/2019 16:41
galaxys10,camera,positive,Jammy_Cow,3/29/2019 22:49
galaxys10,battery,positive,debbie_0603,3/29/2019 21:56
galaxys10,camera,positive,ChrisHughesy,3/29/2019 18:25
galaxys10,camera,positive,steviey,3/29/2019 18:20
galaxys10,infinity display,positive,_benjani_,3/29/2019 17:52
galaxys10,wireless powershare,positive,c7wolfix,3/25/2019 1:00
galaxys10,battery,positive,frank_quinton,4/10/2019 11:06
galaxys10,battery,negative,muhlesiyazi,4/10/2019 8:39
galaxys10,battery,negative,barryalex_25348,4/10/2019 8:34
galaxys10,battery,negative,Kay_bantwana,4/10/2019 8:34
galaxys10,battery,negative,carrolchaby,4/10/2019 8:27
galaxys10,battery,positive,Roux007,4/10/2019 8:23
galaxys10,battery,neutral,Chantel_90236,4/10/2019 8:19
galaxys10,battery,negative,CrystalHaas7,4/10/2019 8:10
galaxys10,battery,neutral,_nixi_pix_,4/10/2019 7:41
galaxys10,battery,positive,WayneBrandonNo2,4/9/2019 15:42
galaxys10,battery,negative,HamazMo_,4/9/2019 14:47
galaxys10,battery,negative,CrystalHaas7,4/9/2019 13:41
galaxys10,battery,positive,Mawewe1,4/9/2019 7:37
galaxys10,battery,neutral,Liron_Segev,4/8/2019 20:27
galaxys10,battery,negative,MashJR_Thapelo,4/8/2019 6:08
galaxys10,battery,negative,Lauretta_Morudu,4/8/2019 6:08
galaxys10,battery,positive,funkin79,4/5/2019 21:13
galaxys10,screen,positive,funkin79,4/5/2019 21:13
galaxys10,battery,positive,Sweetnene28,4/5/2019 20:11
galaxys10,camera,positive,Sweetnene28,4/5/2019 20:11
galaxys10,ultrasonic fingerprint sensor,neutral,VirajRRane,4/6/2019 7:52
galaxys10,ultrasonic fingerprint sensor,positive,moses_munyai_m,4/6/2019 5:18
galaxys10,ultrasonic fingerprint sensor,negative,GregglesTV,4/5/2019 22:49
galaxys10,ultrasonic fingerprint sensor,positive,thetechlearner,4/5/2019 17:05
galaxys10,battery,positive,Trudeestweets,4/5/2019 17:02
galaxys10,screen,positive,Trudeestweets,4/5/2019 17:02
galaxys10,battery,positive,EasilyJonathan,4/5/2019 15:52
galaxys10,wifi,positive,EasilyJonathan,4/5/2019 15:52
galaxys10,camera,positive,EasilyJonathan,4/5/2019 15:52
galaxys10,ultrasonic fingerprint sensor,positive,zimutsa,4/5/2019 15:04
galaxys10,camera,positive,Tshilidzi_M_,4/5/2019 14:57
galaxys10,ultrasonic fingerprint sensor,negative,Tshilidzi_M_,4/5/2019 14:57
galaxys10,ultrasonic fingerprint sensor,negative,TasmynWalker,4/5/2019 14:34
galaxys10,ultrasonic fingerprint sensor,positive,Thabo50809118,4/5/2019 14:27
galaxys10,battery,positive,tsholanangp,4/5/2019 14:07
galaxys10,camera,positive,Mathspalo,4/5/2019 13:56
galaxys10,battery,positive,Mathspalo,4/5/2019 13:56
galaxys10,ultrasonic fingerprint sensor,positive,DavidSm32999299,4/5/2019 13:50
galaxys10,ultrasonic fingerprint sensor,positive,KrispyRen,4/5/2019 13:47
galaxys10,ultrasonic fingerprint sensor,positive,VEBIKE,4/5/2019 13:45
galaxys10,ultrasonic fingerprint sensor,positive,MissBips28,4/5/2019 13:36
galaxys10,ultrasonic fingerprint sensor,positive,BUCS1_ZN,4/5/2019 13:32
galaxys10,ultrasonic fingerprint sensor,negative,Noctular,4/5/2019 13:32
galaxys10,ultrasonic fingerprint sensor,positive,sulaimanl,4/5/2019 13:29
galaxys10,battery,positive,Paulie_1984,4/5/2019 11:09
galaxys10,camera,positive,HernaineM,4/5/2019 10:52
galaxys10,wireless powershare,positive,HernaineM,4/5/2019 10:52
galaxys10,camera,positive,EffectedChip,4/5/2019 10:49
galaxys10,battery,positive,EffectedChip,4/5/2019 10:49
galaxys10,battery,positive,phatQuen,4/5/2019 9:33
galaxys10,battery,positive,NandeBija,4/5/2019 9:12
galaxys10,camera,positive,Jamez_Worldwide,4/5/2019 6:40
galaxys10,camera,positive,maVee_Vincent,4/5/2019 6:40
galaxys10,camera,positive,carmiedevos,4/5/2019 6:39
galaxys10,ultrasonic fingerprint sensor,positive,zimutsa,4/5/2019 6:39
galaxys10,camera,positive,Rachel_Ward5619,4/5/2019 6:39
galaxys10,camera,positive,ZayaanaJanodien,4/5/2019 6:38
galaxys10,infinity display,positive,ZayaanaJanodien,4/5/2019 6:38
galaxys10,camera,positive,SonsRosyCheeks,4/5/2019 6:37
galaxys10,battery,positive,SonsRosyCheeks,4/5/2019 6:37
galaxys10,camera,positive,AndreaBester2,4/5/2019 6:36
